id_sensor | valor | tipo | timestamp
2 | 57.01 | CO2 | 2025-01-15 16:01:49
2 | 57.1 | CO2 | 2025-01-15 16:01:55
2 | 57.1 | CO2 | 2025-01-15 16:02:01
2 | 57.21 | CO2 | 2025-01-15 16:02:14
2 | 57.24 | CO2 | 2025-01-15 16:02:20
2 | 57.24 | CO2 | 2025-01-15 16:02:26
2 | 57.09 | CO2 | 2025-01-15 16:02:32
2 | 57.18 | CO2 | 2025-01-15 16:02:38
2 | 57.35 | CO2 | 2025-01-15 16:02:45
2 | 57.14 | CO2 | 2025-01-15 16:02:51
2 | 57.38 | CO2 | 2025-01-15 16:02:57
2 | 57.43 | CO2 | 2025-01-15 16:03:03
2 | 57.25 | CO2 | 2025-01-15 16:03:22
2 | 57.24 | CO2 | 2025-01-15 16:03:28
2 | 57.22 | CO2 | 2025-01-15 16:03:34
2 | 57.19 | CO2 | 2025-01-15 16:03:40
2 | 57.11 | CO2 | 2025-01-15 16:03:47
2 | 57.25 | CO2 | 2025-01-15 16:03:53
2 | 57.13 | CO2 | 2025-01-15 16:04:00
2 | 57.44 | CO2 | 2025-01-15 16:04:06
2 | 57.53 | CO2 | 2025-01-15 16:04:12
2 | 57.24 | CO2 | 2025-01-15 16:04:18
2 | 57.0 | CO2 | 2025-01-15 16:04:25
2 | 57.21 | CO2 | 2025-01-15 16:04:31
2 | 57.38 | CO2 | 2025-01-15 16:04:37
2 | 57.31 | CO2 | 2025-01-15 16:04:43
2 | 57.25 | CO2 | 2025-01-15 16:04:49
2 | 57.0 | CO2 | 2025-01-15 16:04:56
2 | 57.2 | CO2 | 2025-01-15 16:05:02
2 | 57.24 | CO2 | 2025-01-15 16:05:08
2 | 57.24 | CO2 | 2025-01-15 16:05:14
2 | 57.24 | CO2 | 2025-01-15 16:05:21
2 | 57.1 | CO2 | 2025-01-15 16:05:27
2 | 57.21 | CO2 | 2025-01-15 16:05:33
2 | 57.58 | CO2 | 2025-01-15 16:05:39
2 | 57.18 | CO2 | 2025-01-15 16:05:45
2 | 57.29 | CO2 | 2025-01-15 16:05:52
2 | 57.21 | CO2 | 2025-01-15 16:05:58
2 | 57.19 | CO2 | 2025-01-15 16:06:04
2 | 57.18 | CO2 | 2025-01-15 16:06:10
2 | 57.21 | CO2 | 2025-01-15 16:06:16
2 | 57.63 | CO2 | 2025-01-15 16:06:22
2 | 57.24 | CO2 | 2025-01-15 16:06:29
2 | 57.46 | CO2 | 2025-01-15 16:06:35
2 | 57.31 | CO2 | 2025-01-15 16:06:41
2 | 57.07 | CO2 | 2025-01-15 16:06:47
2 | 57.07 | CO2 | 2025-01-15 16:06:53
2 | 57.23 | CO2 | 2025-01-15 16:06:59
2 | 57.23 | CO2 | 2025-01-15 16:07:05
2 | 57.33 | CO2 | 2025-01-15 16:07:11
2 | 57.29 | CO2 | 2025-01-15 16:07:17
2 | 57.25 | CO2 | 2025-01-15 16:07:23
2 | 57.13 | CO2 | 2025-01-15 16:07:29
2 | 57.15 | CO2 | 2025-01-15 16:07:35
